400114 - Broilerimaitseaine PB (20103) NOT ACTIVE	100001 - PAULIG BALTIC AS	2007	799	EE	Saue	Saue 24 A Saue
400230 - Celery seed ground	100001 - PAULIG BALTIC AS	2007	25	EE	Saue	Saue 24 A Saue
400345 - Rose pepper fine cracked	100001 - PAULIG BALTIC AS	2007	255.5	EE	Saue	Saue 24 A Saue
400507 - Marjoram ground HT AF	100001 - PAULIG BALTIC AS	2007	157	EE	Saue	Saue 24 A Saue
400585 - Tarragon ground powder	100001 - PAULIG BALTIC AS	2007	10	EE	Saue	Saue 24 A Saue
400680 - Üldmaitseaine lihatoodetele-PB NOT ACTIVE	100001 - PAULIG BALTIC AS	2007	899	EE	Saue	Saue 24 A Saue
400693 - Kiluvürts Kajax 80/20 NOT ACTIVE	100001 - PAULIG BALTIC AS	2007	1011	EE	Saue	Saue 24 A Saue
400694 - Ginger sliced (PB/40025) NOT ACTIVE	100001 - PAULIG BALTIC AS	2007	20	EE	Saue	Saue 24 A Saue
400695 - Cinnamon Cassia cracked  Korintji PB 4003	100001 - PAULIG BALTIC AS	2007	200	EE	Saue	Saue 24 A Saue
400696 - Cardamom seed whole NOT ACTIVE	100001 - PAULIG BALTIC AS	2007	50	EE	Saue	Saue 24 A Saue
400697 - Nutmeg whole (PB 40509) NOT ACTIVE	100001 - PAULIG BALTIC AS	2007	50	EE	Saue	Saue 24 A Saue
400698 - Cloves whole NOT ACTIVE	100001 - PAULIG BALTIC AS	2007	125	EE	Saue	Saue 24 A Saue
400699 - Viie pipra segu PB (20106) NOT ACTIVE	100001 - PAULIG BALTIC AS	2007	15	EE	Saue	Saue 24 A Saue
400370 - Salt Pan NTU	100042 - Oriola AS	2008	23125	EE	Saue	Kungla 2 Saue
400370 - Salt Pan NTU	100042 - Oriola AS	2009	24700	EE	Saue	Kungla 2 Saue
400370 - Salt Pan NTU	100042 - Oriola AS	2010	26250	EE	Saue	Kungla 2 Saue
400370 - Salt Pan NTU	100042 - Oriola AS	2011	37200	EE	Saue	Kungla 2 Saue
400370 - Salt Pan NTU	100042 - Oriola AS	2012	28500	EE	Saue	Kungla 2 Saue
400370 - Salt Pan NTU	100042 - Oriola AS	2013	36000	EE	Saue	Kungla 2 Saue
400370 - Salt Pan NTU	100042 - Oriola AS	2014	2250	EE	Saue	Kungla 2 Saue
401516 - Coffee medium roast 5x1kg ground	100109 - Paulig Coffee Estonia AS	2014	110	EE	Tallinn	Mustamäe tee 46 Tallinn
400361 - Sodium bicarbonate (E 500)	200001 - Algol Chemicals OÜ	2009	5725	EE	Tallinn	Peterburi tee 44 Tallinn
400459 - Potassium nitrate (E 252)	200001 - Algol Chemicals OÜ	2009	450	EE	Tallinn	Peterburi tee 44 Tallinn
